date	close
16/11/2012	155
15/11/2012	156
14/11/2012	156
13/11/2012	131
12/11/2012	132
11/11/2012	132
10/11/2012	134
09/11/2012	134
08/11/2012	134
07/11/2012	162
06/11/2012	163
05/11/2012	163
04/11/2012	161
03/11/2012	187
02/11/2012	187
01/11/2012	187
31/10/2012	241
30/10/2012	282
29/10/2012	282
28/10/2012	336
27/10/2012	304
26/10/2012	304
25/10/2012	329
24/10/2012	304
23/10/2012	304
22/10/2012	303
21/10/2012	332
20/10/2012	358
19/10/2012	360
18/10/2012	352
17/10/2012	596
16/10/2012	620
15/10/2012	644
14/10/2012	669
13/10/2012	742
12/10/2012	742
11/10/2012	742
10/10/2012	714
09/10/2012	713
08/10/2012	713
07/10/2012	713
06/10/2012	687
05/10/2012	687
04/10/2012	686
03/10/2012	632
02/10/2012	590
01/10/2012	590
30/09/2012	561
29/09/2012	551
28/09/2012	551
27/09/2012	527
26/09/2012	526
25/09/2012	526
24/09/2012	565
23/09/2012	535
22/09/2012	508
21/09/2012	531
20/09/2012	578
19/09/2012	336
18/09/2012	311
17/09/2012	286
16/09/2012	261
15/09/2012	188
14/09/2012	219
13/09/2012	219
12/09/2012	219
11/09/2012	219
10/09/2012	246
09/09/2012	248
08/09/2012	273
07/09/2012	273
06/09/2012	289
05/09/2012	291
04/09/2012	291
03/09/2012	295
02/09/2012	320
01/09/2012	320
31/08/2012	361
30/08/2012	361
29/08/2012	386
28/08/2012	386
27/08/2012	349
26/08/2012	349
25/08/2012	352
24/08/2012	362
23/08/2012	303
22/08/2012	333
21/08/2012	333
20/08/2012	333
19/08/2012	340
18/08/2012	338
17/08/2012	310
16/08/2012	310
15/08/2012	310
14/08/2012	339
13/08/2012	312
12/08/2012	327
11/08/2012	377
10/08/2012	402
09/08/2012	405
08/08/2012	466
07/08/2012	535
06/08/2012	533
05/08/2012	493
04/08/2012	503
03/08/2012	546
02/08/2012	708
01/08/2012	1162
31/07/2012	1255
30/07/2012	1793
29/07/2012	1870
28/07/2012	1905
27/07/2012	1892
26/07/2012	2210
25/07/2012	2251
24/07/2012	2498
23/07/2012	2625
22/07/2012	2619
21/07/2012	2650
20/07/2012	2647
19/07/2012	2725
18/07/2012	3259
17/07/2012	3307
16/07/2012	3322
15/07/2012	3681
14/07/2012	3606
13/07/2012	3581
12/07/2012	3572
11/07/2012	3528
10/07/2012	3481
09/07/2012	3487
08/07/2012	3525
07/07/2012	3550
06/07/2012	3945
05/07/2012	4201
04/07/2012	3746
03/07/2012	3653
02/07/2012	3152
01/07/2012	3075
30/06/2012	3043
29/06/2012	3035
28/06/2012	2710
27/06/2012	2715
26/06/2012	2481
25/06/2012	2414
24/06/2012	2703
23/06/2012	2674
22/06/2012	2674
21/06/2012	2648
20/06/2012	2389
19/06/2012	2728
18/06/2012	2714
17/06/2012	2756
16/06/2012	2765
15/06/2012	2808
14/06/2012	3097
13/06/2012	3091
12/06/2012	3408
11/06/2012	3400
10/06/2012	3358
09/06/2012	3353
08/06/2012	2875
07/06/2012	2455
06/06/2012	2431
05/06/2012	2441
04/06/2012	2400
03/06/2012	2412
02/06/2012	2408
01/06/2012	2406
31/05/2012	2450
30/05/2012	2578
29/05/2012	2604
28/05/2012	2544
27/05/2012	2254
26/05/2012	2258
25/05/2012	2263
24/05/2012	2211
23/05/2012	1937
22/05/2012	1558
21/05/2012	1579
20/05/2012	1176
19/05/2012	1184
18/05/2012	1141
17/05/2012	822
16/05/2012	836
15/05/2012	836
14/05/2012	836
13/05/2012	1132
12/05/2012	1102
11/05/2012	1101
10/05/2012	1101
09/05/2012	1109
08/05/2012	1177
07/05/2012	1177
06/05/2012	1165
05/05/2012	1193
04/05/2012	1189
03/05/2012	1145
02/05/2012	943
01/05/2012	963
30/04/2012	966
29/04/2012	978
28/04/2012	980
27/04/2012	983
26/04/2012	991
25/04/2012	1044
24/04/2012	1028
23/04/2012	1041
22/04/2012	1439
21/04/2012	1457
20/04/2012	1498
19/04/2012	1573
18/04/2012	1891
17/04/2012	1885
16/04/2012	1877
15/04/2012	1292
14/04/2012	1352
13/04/2012	1379
12/04/2012	1379
11/04/2012	1410
10/04/2012	1365
09/04/2012	1365
08/04/2012	1368
07/04/2012	1342
06/04/2012	1334
05/04/2012	1406
